date,security_id,ticker,company_name,country,currency,market_cap_usd,open,close,adj_close,fx_to_usd,split_factor,dividend,is_active,delist_date
2020-01-02,S01,AAA,Atlas Alpha,US,USD,2000000000000,100,100,100,1,1,0,true,
2020-01-02,S02,BBB,Boreal Bank,US,USD,1800000000000,100,100,100,1,1,0,true,
2020-01-02,S03,CCC,Cirrus Cloud,US,USD,1600000000000,80,80,80,1,1,0,true,
2020-01-02,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-02,S05,EEE,Everest Energy,US,USD,1200000000000,60,60,60,1,1,0,true,
2020-01-02,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-02,S07,GGG,Galaxy Grid,US,USD,900000000000,40,40,40,1,1,0,true,
2020-01-02,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-02,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-02,S10,JJJ,Jupiter Retail,US,USD,600000000000,20,20,20,1,1,0,true,
2020-01-02,S11,KKK,Keystone Motors,US,USD,500000000000,15,15,15,1,1,0,true,
2020-01-03,S01,AAA,Atlas Alpha,US,USD,2010000000000,101,101,101,1,1,0,true,
2020-01-03,S02,BBB,Boreal Bank,US,USD,1790000000000,99,99,99,1,1,0,true,
2020-01-03,S03,CCC,Cirrus Cloud,US,USD,1605000000000,80.5,80.5,80.5,1,1,0,true,
2020-01-03,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-03,S05,EEE,Everest Energy,US,USD,1190000000000,60,60,60,1,1,0,true,
2020-01-03,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-03,S07,GGG,Galaxy Grid,US,USD,905000000000,40.4,40.4,40.4,1,1,0,true,
2020-01-03,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-03,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-03,S10,JJJ,Jupiter Retail,US,USD,600000000000,20.2,20.2,20.2,1,1,0,true,
2020-01-03,S11,KKK,Keystone Motors,US,USD,520000000000,15.1,15.1,15.1,1,1,0,true,
2020-01-06,S01,AAA,Atlas Alpha,US,USD,2020000000000,102,102,102,1,1,0,true,
2020-01-06,S02,BBB,Boreal Bank,US,USD,1780000000000,98,98,98,1,1,0,true,
2020-01-06,S03,CCC,Cirrus Cloud,US,USD,1610000000000,81,81,81,1,1,0,true,
2020-01-06,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-06,S05,EEE,Everest Energy,US,USD,1180000000000,59,59,59,1,1,0,true,
2020-01-06,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-06,S07,GGG,Galaxy Grid,US,USD,910000000000,40.8,40.8,40.8,1,1,0,true,
2020-01-06,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-06,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-06,S10,JJJ,Jupiter Retail,US,USD,600000000000,20.4,20.4,20.4,1,1,0,true,
2020-01-06,S11,KKK,Keystone Motors,US,USD,540000000000,15.2,15.2,15.2,1,1,0,true,
2020-01-07,S01,AAA,Atlas Alpha,US,USD,2030000000000,103,103,103,1,1,0,true,
2020-01-07,S02,BBB,Boreal Bank,US,USD,1770000000000,97,97,97,1,1,0,true,
2020-01-07,S03,CCC,Cirrus Cloud,US,USD,1615000000000,81.5,81.5,81.5,1,1,0,true,
2020-01-07,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-07,S05,EEE,Everest Energy,US,USD,1170000000000,59,59,59,1,1,0,true,
2020-01-07,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-07,S07,GGG,Galaxy Grid,US,USD,915000000000,41.2,41.2,41.2,1,1,0,true,
2020-01-07,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-07,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-07,S10,JJJ,Jupiter Retail,US,USD,600000000000,20.6,20.6,20.6,1,1,0,true,
2020-01-07,S11,KKK,Keystone Motors,US,USD,560000000000,15.3,15.3,15.3,1,1,0,true,
2020-01-08,S01,AAA,Atlas Alpha,US,USD,2040000000000,104,104,104,1,1,0,true,
2020-01-08,S02,BBB,Boreal Bank,US,USD,1760000000000,96,96,96,1,1,0,true,
2020-01-08,S03,CCC,Cirrus Cloud,US,USD,1620000000000,82,82,82,1,1,0,true,
2020-01-08,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-08,S05,EEE,Everest Energy,US,USD,1160000000000,58,58,58,1,1,0,true,
2020-01-08,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-08,S07,GGG,Galaxy Grid,US,USD,920000000000,41.6,41.6,41.6,1,1,0,true,
2020-01-08,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-08,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-08,S10,JJJ,Jupiter Retail,US,USD,600000000000,20.8,20.8,20.8,1,1,0,true,
2020-01-08,S11,KKK,Keystone Motors,US,USD,580000000000,15.4,15.4,15.4,1,1,0,true,
2020-01-09,S01,AAA,Atlas Alpha,US,USD,2050000000000,105,105,105,1,1,0,true,
2020-01-09,S02,BBB,Boreal Bank,US,USD,1750000000000,95,95,95,1,1,0,true,
2020-01-09,S03,CCC,Cirrus Cloud,US,USD,1625000000000,82.5,82.5,82.5,1,1,0,true,
2020-01-09,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-09,S05,EEE,Everest Energy,US,USD,1150000000000,58,58,58,1,1,0,true,
2020-01-09,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-09,S07,GGG,Galaxy Grid,US,USD,925000000000,42,42,42,1,1,0,true,
2020-01-09,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-09,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-09,S10,JJJ,Jupiter Retail,US,USD,600000000000,21,21,21,1,1,0,true,
2020-01-09,S11,KKK,Keystone Motors,US,USD,650000000000,15.5,15.5,15.5,1,1,0,true,
2020-01-10,S01,AAA,Atlas Alpha,US,USD,2060000000000,106,106,106,1,1,0,true,
2020-01-10,S02,BBB,Boreal Bank,US,USD,1760000000000,96,96,96,1,1,0,true,
2020-01-10,S03,CCC,Cirrus Cloud,US,USD,1630000000000,83,83,83,1,1,0,true,
2020-01-10,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-10,S05,EEE,Everest Energy,US,USD,1160000000000,59,59,59,1,1,0,true,
2020-01-10,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-10,S07,GGG,Galaxy Grid,US,USD,930000000000,42.4,42.4,42.4,1,1,0,true,
2020-01-10,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-10,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-10,S10,JJJ,Jupiter Retail,US,USD,600000000000,21.2,21.2,21.2,1,1,0,true,
2020-01-10,S11,KKK,Keystone Motors,US,USD,660000000000,15.6,15.6,15.6,1,1,0,true,
2020-01-13,S01,AAA,Atlas Alpha,US,USD,2070000000000,107,107,107,1,1,0,true,
2020-01-13,S02,BBB,Boreal Bank,US,USD,1770000000000,97,97,97,1,1,0,true,
2020-01-13,S03,CCC,Cirrus Cloud,US,USD,1635000000000,83.5,83.5,83.5,1,1,0,true,
2020-01-13,S04,DDD,Delta Devices,US,USD,1400000000000,70,70,70,1,1,0,true,
2020-01-13,S05,EEE,Everest Energy,US,USD,1170000000000,60,60,60,1,1,0,true,
2020-01-13,S06,FFF,Falcon Foods,US,USD,1000000000000,50,50,50,1,1,0,true,
2020-01-13,S07,GGG,Galaxy Grid,US,USD,935000000000,42.8,42.8,42.8,1,1,0,true,
2020-01-13,S08,HHH,Horizon Health,US,USD,800000000000,30,30,30,1,1,0,true,
2020-01-13,S09,III,Ion Industrial,US,USD,700000000000,25,25,25,1,1,0,true,
2020-01-13,S10,JJJ,Jupiter Retail,US,USD,600000000000,21.4,21.4,21.4,1,1,0,true,
2020-01-13,S11,KKK,Keystone Motors,US,USD,670000000000,15.7,15.7,15.7,1,1,0,true,
